 # step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  22200      5.44e-01    7.17e-01      1.46e-02    4.59e-02      1.89e-02    2.48e-02    8.1e-04
  22300      5.88e-01    4.70e-01      9.08e-03    7.88e-03      2.06e-02    1.64e-02    8.1e-04
  22400      6.32e-01    7.18e-01      1.42e-02    3.39e-02      2.20e-02    2.50e-02    8.1e-04
  22500      6.16e-01    7.35e-01      2.29e-02    6.91e-02      2.13e-02    2.50e-02    8.1e-04
  22600      5.19e-01    5.19e-01      1.07e-02    5.36e-03      1.81e-02    1.82e-02    8.1e-04
  22700      6.59e-01    5.50e-01      6.69e-03    6.81e-04      2.30e-02    1.93e-02    8.1e-04
  22800      7.26e-01    6.29e-01      9.16e-03    5.19e-03      2.54e-02    2.20e-02    8.1e-04
  22900      6.74e-01    6.04e-01      9.58e-03    3.72e-03      2.35e-02    2.12e-02    8.1e-04
  23000      5.44e-01    6.60e-01      8.54e-03    4.64e-02      1.90e-02    2.27e-02    8.1e-04
  23100      6.39e-01    6.78e-01      8.33e-03    1.66e-04      2.24e-02    2.37e-02    8.1e-04
  23200      6.59e-01    6.43e-01      1.67e-02    1.46e-02      2.30e-02    2.24e-02    8.1e-04
  23300      6.73e-01    4.84e-01      2.12e-02    3.88e-03      2.34e-02    1.70e-02    8.1e-04
  23400      5.76e-01    6.44e-01      3.86e-02    3.74e-03      1.91e-02    2.26e-02    8.1e-04
  23500      6.46e-01    6.41e-01      2.10e-02    6.63e-03      2.25e-02    2.24e-02    8.1e-04
  23600      6.17e-01    4.85e-01      1.86e-02    1.62e-02      2.14e-02    1.68e-02    8.1e-04
  23700      8.13e-01    5.34e-01      7.61e-03    5.17e-03      2.85e-02    1.87e-02    8.1e-04
  23800      6.47e-01    5.71e-01      8.59e-03    8.55e-03      2.26e-02    2.00e-02    8.1e-04
  23900      6.79e-01    6.44e-01      5.43e-03    5.21e-03      2.38e-02    2.25e-02    8.1e-04
  24000      6.25e-01    6.51e-01      1.65e-02    4.21e-02      2.17e-02    2.25e-02    8.1e-04
  24100      5.29e-01    7.02e-01      2.04e-03    9.95e-04      1.85e-02    2.46e-02    8.1e-04
  24200      5.45e-01    5.68e-01      1.02e-02    4.15e-02      1.90e-02    1.96e-02    8.1e-04
  24300      6.29e-01    5.17e-01      8.67e-03    9.86e-04      2.20e-02    1.81e-02    8.1e-04
  24400      6.59e-01    4.36e-01      7.58e-03    7.43e-04      2.30e-02    1.53e-02    8.1e-04
  24500      5.55e-01    6.01e-01      3.17e-02    3.33e-02      1.86e-02    2.02e-02    8.1e-04
  24600      6.47e-01    5.45e-01      1.62e-02    1.45e-02      2.25e-02    1.89e-02    8.1e-04
  24700      6.07e-01    4.87e-01      2.65e-03    2.16e-03      2.13e-02    1.71e-02    8.1e-04
  24800      6.16e-01    4.91e-01      2.20e-03    3.70e-04      2.16e-02    1.72e-02    8.1e-04
  24900      6.23e-01    4.74e-01      8.46e-03    1.17e-03      2.18e-02    1.66e-02    8.1e-04
  25000      6.10e-01    5.08e-01      1.53e-02    7.98e-03      2.12e-02    1.77e-02    8.1e-04
  25100      5.86e-01    4.73e-01      1.60e-02    4.31e-04      2.04e-02    1.66e-02    8.1e-04
  25200      5.82e-01    6.74e-01      1.05e-02    3.50e-03      2.03e-02    2.36e-02    8.1e-04
  25300      5.41e-01    5.80e-01      2.10e-02    6.44e-02      1.86e-02    1.95e-02    8.1e-04
  25400      6.32e-01    4.24e-01      1.56e-02    1.44e-02      2.20e-02    1.47e-02    8.1e-04
  25500      5.52e-01    5.27e-01      3.68e-04    4.17e-04      1.93e-02    1.85e-02    8.1e-04
